Số TT,Mã MH,Tên MH (VN),Tên MH (EN),Còn mở lớp,Đơn vị quản lý,Loại MH,Mã cũ,Mã tương đương,Mã tiên quyết,Mã môn học trước,Số TCLT,Số TCTH
36,CE117,Thực hành điện- điện tử,Basic electrical and electronic laboratory,Đang mở,KTMT,CSN,,,,PH001CE101,0,1
37,CE118,Thiết kế luận lý số,Digital Logic Design,Đang mở,KTMT,CSN,,,,PH002,3,1
38,CE119,Thực hành kiến trúc máy tính,Computer Architecture Laboratory,Đang mở,KTMT,CSN,,,,PH002,0,1
39,CE121,Lý thuyết mạch điện,Theory of Electrical Circuits,Đang mở,KTMT,CSN,,CE101CE122CE125,,,3,1
40,CE122,Phân tích mạch kỹ thuật,Engineering Circuit Analysis,Đang mở,KTMT,CN,,CE125,,,3,1
41,CE124,Các thiết bị và mạch điện tử,Electronic Devices and Circuits,Đang mở,KTMT,CSN,,CE104,,CE121,3,1
42,CE125,Kỹ thuật phân tích mạch,Introduction to Circuit Analysis,Đang mở,KTMT,CN,,,,,3,1
43,CE126,Vật lý bán dẫn và ứng dụng,Semiconductor Physics and Applications,Đang mở,KTMT,CN,,,,,3,1
44,CE201,Đồ án 1,Project 1,Đang mở,KTMT,ĐA,,,,PH002CE103CE121,0,2
45,CE202,An toàn mạng máy tính,Network security,Đang mở,KTMT,CN,,NT101,,,3,0
46,CE203,Điều khiển tự động nâng cao,Advanced automatic control,Đang mở,KTMT,CĐTN,,CE317,,,3,0
47,CE204,Thiết kế và lập trình Web,Web design and programming,Đang mở,KTMT,CN,CE305,,,,3,0
48,CE205,Xử lý tín hiệu số,Digital signal processing,Đang mở,KTMT,CN,,,,,3,1
49,CE206,Đồ án 2,Project 2,Đang mở,KTMT,ĐA,,CE116,,PH002CE103CE121,0,2
50,CE207,Đồ án thiết kế vi mạch 1,Project on Integrated Circuit Design 1,Đang mở,KTMT,CN,,,,CE226CE436CE433,0,2
51,CE208,Đồ án thiết kế vi mạch 2,Project on Integrated Circuit Design 2,Đang mở,KTMT,CN,,,,CE207,0,2
52,CE211,Lập trình nhúng căn bản,Introduction to embedded-system programming,Đang mở,KTMT,CN,,CE232,,CE107,3,1
53,CE212,Điều khiển tự động,Automatic Control,Đang mở,KTMT,CN,CE113,,,MA003MA006,3,1
54,CE213,Thiết kế hệ thống số với HDL,Digital System Design with HDL,Đang mở,KTMT,CSN,,,,PH002CE118,3,1
55,CE219,Tương tác người - máy,Human-computer interaction,Đang mở,KTMT,CN,,CE405,,,3,0
56,CE221,Thiết kế vi mạch với HDL,Digital circuit design with HDL,Đang mở,KTMT,CN,,CE213,,PH002CE118,3,1
57,CE222,Thiết kế vi mạch số,Digital Integrated Circuit Design,Đang mở,KTMT,CN,,CE302,,CE118,3,1
58,CE224,Thiết kế hệ thống nhúng,Embedded Systems Design,Đang mở,KTMT,CN,,,,CE103,3,1
59,CE226,Thiết kế VLSI,VLSI Design,Đang mở,KTMT,CN,,,,,3,1
60,CE232,Thiết kế hệ thống nhúng không dây,Wireless Embedded Systems Design,Đang mở,KTMT,CN,,,,CE224,3,1
61,CE233,Kỹ thuật Robot,Robot Principles and Design,Đang mở,KTMT,CN,,,,MA003,3,1
62,CE301,Hệ thống chứng thực số,Digital identification systems,Đang mở,KTMT,CN,,,,,3,0
63,CE302,Thiết kế vi mạch,Circuits design,Đang mở,KTMT,CN,,CE222,,,2,1
64,CE303,Robot công nghiệp,Industrial robotics,Đang mở,KTMT,CN,,,,MA001MA002CE101CE212CE107,3,0
65,CE3031,Công nghệ cảm biến,Sensor Technologies,Đang mở,KTMT,CN,,,,MA006MA003CE121,3,1
66,CE304,Robot công nghiệp,Industrial Robotics,Đang mở,KTMT,CNTC,,,,CE121CE224MA001MA002,3,1
67,CE306,Thị giác máy tính,Computer vision,Đang mở,KTMT,CN,,,,,3,0
68,CE312,Hệ thống thời gian thực,Real-time systems,Đang mở,KTMT,CN,,,,IT006IT007CE103CE211,3,0
69,CE313,Xử lý song song và hệ thống phân tán,Parallel Processing and Distributed Systems,Đang mở,KTMT,CN,CE311,,,IT001IT006,3,0
70,CE314,Trình biên dịch,Principles of compiler design,Đang mở,KTMT,CN,,,,CE103MA004,3,0
71,CE315,Lập trình hệ thống với Java,System Programming with Java,Đang mở,KTMT,CN,CE110,,,,2,1
72,CE316,Logic mờ và ứng dụng,Fuzzy logic and applications,Đang mở,KTMT,CN,,CS405,,MA004,3,0
73,CE317,Điều khiển tự động nâng cao,Advanced Automatic Control,Đang mở,KTMT,CN,CE203,,,MA001MA002MA003MA004CE101CE104CE212,3,0
74,CE318,Trình biên dịch,Compiler,Đang mở,KTMT,CNTC,,CE314,,IT006IT007,3,1
75,CE319,Logic mờ và ứng dụng,Fuzzy Logic and Its Applications,Đang mở,KTMT,CNTC,,,,MA004,3,1
76,CE320,Logic mờ cho ứng dụng hệ thống nhúng,Fuzzy Logic for Embedded Systems Applications,Đang mở,KTMT,CN,,,,MA004,3,1
77,CE321,Kỹ thuật chế tạo vi mạch,Integrated circuit fabrication,Đang mở,KTMT,CN,CE404,,,CE222,3,0
